execucao,n_populacao,geracao_melhor_global,taxa_crossover,taxa_mutacao,tamanho_torneio,n_elitismo,melhor_fitness_final,tempo_total_seg
26,419,10,0.0911342585844481,0.2461849193704465,9,15,136,58.747884035110474
27,45,36,0.5804991992108214,0.021396462867665347,3,14,136,0.577500581741333
28,39,41,0.25360960524505705,0.14172565521019034,4,18,136,1.604288101196289
29,73,60,0.20339528670430318,0.3802072451500834,3,22,136,10.474837303161621
30,146,15,0.524456206684383,0.08826442532509488,5,4,136,15.059617280960083
31,245,15,0.6606922615210683,0.08619916970333796,4,98,136,15.809372901916504
32,396,13,0.07812510810773994,0.11113525788436034,6,103,136,35.05483794212341
33,300,10,0.8938932543657493,0.17256595336368372,7,38,136,25.789064645767212
34,368,87,0.06780140171245058,0.41063916175978565,3,19,136,69.74339985847473
35,381,11,0.5365662858051219,0.2624801163647747,8,156,136,39.02373909950256
36,16,31,0.757099352933313,0.3866920814531472,7,2,135,2.833157777786255
37,118,17,0.32071035573534756,0.014937138798711835,9,39,136,1.441157341003418
38,82,44,0.17750894847417528,0.4963517777731282,3,13,135,19.38946294784546
39,235,21,0.0983935294999621,0.22625747355862838,2,34,136,25.5263192653656
40,198,34,0.8293374480565278,0.3437514598638751,7,23,136,33.01611256599426
41,454,42,0.7468544904929268,0.40833086271265884,6,198,136,60.813316106796265
42,443,18,0.8391211852147565,0.2077411377546238,5,33,136,71.88009977340698
43,122,13,0.45612588927186065,0.2593340811611331,7,15,136,13.906644344329834
44,308,25,0.49245961498961793,0.4895874873211655,7,30,136,51.59421634674072
45,391,29,0.5634094396976564,0.49779045262412136,5,72,136,73.44421601295471
46,88,21,0.013167603390758292,0.15481600652557725,4,11,136,5.560159921646118
47,297,69,0.7038725712045579,0.27677922695952273,2,137,136,25.8066987991333
48,481,14,0.5035507893229647,0.19405078850249272,4,121,136,37.596211194992065
49,484,51,0.9080212194111656,0.32255786419344523,2,113,136,63.52748894691467
50,314,34,0.40264595228440847,0.43862476143575446,9,74,136,44.2304368019104
51,422,25,0.8875500624549845,0.2651536770597457,5,34,136,45.85912108421326
52,112,50,0.7078895415771739,0.37631573973381954,2,18,136,15.813429117202759
53,479,12,0.0011689053969577245,0.22896555108691974,7,135,136,35.38062143325806
54,293,12,0.8114351994510804,0.04615462201602647,8,60,136,8.63663101196289
55,137,19,0.42550239019376096,0.053155393557909415,8,23,136,12.837119102478027
56,80,29,0.9378800593536529,0.3183182458765926,6,6,136,37.235666036605835
